test, rrt iteration, number of waypoints, distance to goal
1,27,0,620.012
1,28,5,620.012
1,29,5,620.012
1,30,5,620.012
1,31,5,620.012
1,32,5,620.012
1,33,5,620.012
1,34,5,620.012
1,35,5,620.012
1,36,5,620.012
1,37,5,620.012
1,38,5,620.012
1,39,5,620.012
1,40,5,620.012
1,41,5,620.012
1,42,5,620.012
1,43,5,620.012
1,44,5,619.092
1,45,5,619.092
1,46,5,619.092
1,47,5,619.092
1,48,5,619.092
1,49,5,619.092
1,50,5,619.092
1,51,5,619.092
1,52,5,619.092
1,53,5,619.092
1,54,5,619.092
1,55,5,619.092
1,56,5,619.092
1,57,5,619.092
1,58,5,619.092
1,59,5,619.092
1,60,5,619.092
1,61,5,619.092
1,62,5,619.092
1,63,5,619.092
1,64,5,619.092
1,65,5,619.092
1,66,5,619.092
1,67,5,619.092
1,68,5,616.77
1,69,5,616.77
1,70,5,616.77
1,71,5,616.77
1,72,5,616.77
1,73,5,615.828
1,74,6,615.828
1,75,6,615.828
1,76,6,615.828
1,77,6,615.828
1,78,6,615.828
1,79,6,615.828
1,80,6,615.828
1,81,6,606.153
1,82,6,606.153
1,83,6,606.153
1,84,6,606.153
1,85,6,606.153
1,86,6,606.153
1,87,6,606.153
1,88,6,606.148
1,89,6,606.148
1,90,6,606.148
1,91,6,606.148
1,92,6,606.148
1,93,6,606.148
1,94,6,606.148
1,95,6,606.148
1,96,6,606.148
1,97,6,606.148
1,98,6,606.148
1,99,6,606.148
1,100,6,606.148
1,101,6,606.148
1,102,6,606.148
1,103,6,604.056
1,104,5,604.056
1,105,5,604.056
1,106,5,604.056
1,107,5,604.056
1,108,5,602.194
1,109,6,602.194
1,110,6,602.194
1,111,6,602.194
1,112,6,602.194
1,113,6,602.194
1,114,6,602.194
1,115,6,602.194
1,116,6,602.194
1,117,6,602.194
1,118,6,602.194
1,119,6,602.194
1,120,6,602.194
1,121,6,602.194
1,122,6,602.194
1,123,6,602.194
1,124,6,602.194
1,125,6,602.194
1,126,6,602.194
1,127,6,602.194
1,128,6,602.194
1,129,6,602.194
1,130,6,602.194
1,131,6,602.194
1,132,6,602.194
1,133,6,602.194
1,134,6,602.194
1,135,6,602.194
1,136,6,602.194
1,137,6,602.194
1,138,6,602.194
1,139,6,602.194
1,140,6,602.194
1,141,6,602.194
1,142,6,602.194
1,143,6,602.194
1,144,6,602.194
1,145,6,602.194
1,146,6,602.194
1,147,6,602.194
1,148,6,602.194
1,149,6,602.194
1,150,6,602.194
1,151,6,602.194
1,152,6,602.194
1,153,6,602.194
1,154,6,602.194
1,155,6,602.194
1,156,6,602.194
1,157,6,602.194
1,158,6,602.194
1,159,6,602.194
1,160,6,602.194
1,161,6,602.194
1,162,6,602.194
1,163,6,602.194
1,164,6,602.194
1,165,6,602.194
1,166,6,602.194
1,167,6,602.194
1,168,6,602.194
1,169,6,602.194
1,170,6,602.194
1,171,6,602.194
1,172,6,602.194
1,173,6,602.194
1,174,6,602.194
1,175,8,602.194
1,176,8,602.194
1,177,8,602.194
1,178,8,602.194
1,179,8,601.422
1,180,9,601.422
1,181,9,601.422
1,182,9,600.065
1,183,8,600.065
1,184,8,600.065
1,185,8,600.065
1,186,8,600.065
1,187,8,600.065
1,188,8,600.065
1,189,8,600.065
1,190,8,600.065
1,191,8,600.065
1,192,8,600.065
1,193,7,600.065
1,194,7,600.065
1,195,7,600.065
1,196,7,600.065
1,197,7,599.72
1,198,8,599.72
1,199,8,599.72
1,200,8,599.72
1,201,8,599.72
1,202,10,599.72
1,203,10,599.72
1,204,10,599.72
1,205,10,599.72
1,206,10,599.639
1,207,10,599.639
1,208,10,599.639
1,209,10,599.639
1,210,10,599.639
1,211,10,599.639
1,212,10,599.639
1,213,10,599.639
1,214,10,599.639
1,215,10,599.639
1,216,10,599.639
1,217,10,599.639
1,218,10,599.639
1,219,10,599.639
1,220,10,599.639
1,221,10,599.639
1,222,10,599.639
1,223,10,599.639
1,224,10,599.639
1,225,10,599.639
1,226,10,599.639
1,227,10,598.777
1,228,10,598.777
1,229,10,598.777
1,230,10,598.777
1,231,10,598.777
1,232,10,598.777
1,233,10,598.777
1,234,10,598.777
1,235,10,598.777
1,236,10,598.777
1,237,10,598.758
1,238,10,598.758
1,239,10,598.758
1,240,10,598.758
1,241,10,598.758
1,242,10,598.758
1,243,10,598.408
1,244,11,598.408
1,245,11,598.408
1,246,11,598.408
1,247,11,598.408
1,248,11,598.408
1,249,11,598.408
1,250,11,598.408
1,251,11,598.408
1,252,11,598.408
1,253,11,598.408
1,254,9,598.408
1,255,9,598.408
1,256,9,598.408
1,257,9,598.408
1,258,9,598.408
1,259,9,598.408
1,260,9,598.408
1,261,9,598.408
1,262,9,598.408
1,263,9,598.408
1,264,9,598.408
1,265,9,597.843
1,266,9,597.843
1,267,9,597.843
1,268,9,597.843
1,269,9,597.843
1,270,9,597.843
1,271,9,597.843
1,272,9,597.843
1,273,9,597.843
1,274,9,597.843
1,275,9,597.843
1,276,9,597.843
1,277,9,597.843
1,278,9,597.843
1,279,9,597.827
1,280,9,597.827
1,281,9,597.827
1,282,9,597.827
1,283,9,597.827
1,284,9,597.827
1,285,9,597.827
1,286,9,597.827
1,287,9,597.827
1,288,9,597.827
1,289,9,597.827
1,290,9,597.827
1,291,9,597.827
1,292,9,597.827
1,293,9,597.827
1,294,9,597.827
1,295,9,597.827
1,296,9,597.827
1,297,9,597.827
1,298,9,597.827
1,299,9,597.827
1,300,9,597.827
1,301,9,597.827
1,302,9,597.827
1,303,9,597.827
1,304,9,597.827
1,305,9,597.827
1,306,9,597.811
1,307,9,597.811
1,308,9,597.811
1,309,9,597.811
1,310,9,597.811
1,311,9,597.811
1,312,9,597.811
1,313,9,597.811
1,314,9,597.811
1,315,9,597.811
1,316,9,597.811
1,317,9,597.811
1,318,9,597.811
1,319,9,597.811
1,320,9,597.811
1,321,9,597.811
1,322,9,597.811
1,323,9,597.811
1,324,9,597.811
1,325,9,597.811
1,326,9,597.811
1,327,9,597.811
1,328,9,597.811
1,329,9,597.811
1,330,9,597.811
1,331,9,597.811
1,332,9,597.811
1,333,9,597.811
1,334,9,597.811
1,335,9,597.811
1,336,9,597.811
1,337,9,597.811
1,338,9,597.811
1,339,9,597.811
1,340,9,597.811
1,341,9,597.811
1,342,9,597.811
1,343,9,597.811
1,344,9,597.811
1,345,9,597.811
1,346,9,597.811
1,347,9,597.811
1,348,9,597.811
1,349,9,597.811
1,350,9,597.811
1,351,9,597.811
1,352,9,597.811
1,353,9,597.811
1,354,9,597.811
1,355,9,597.811
1,356,9,597.811
1,357,9,597.811
