test, rrt iteration, number of waypoints, distance to goal
1,1737,0,1404.67
1,1738,19,1404.67
1,1739,19,1404.67
1,1740,19,1404.67
1,1741,19,1404.67
1,1742,19,1404.67
1,1743,19,1404.67
1,1744,19,1404.67
1,1745,18,1404.67
1,1746,18,1404.67
1,1747,18,1404.67
1,1748,18,1404.67
1,1749,18,1404.67
1,1750,18,1403.71
1,1751,18,1403.71
1,1752,18,1403.71
1,1753,18,1403.71
1,1754,18,1403.71
1,1755,18,1403.71
1,1756,18,1403.71
1,1757,18,1403.71
1,1758,18,1403.71
1,1759,18,1403.71
1,1760,18,1403.71
1,1761,18,1403.71
1,1762,18,1403.71
1,1763,18,1403.71
1,1764,18,1403.71
1,1765,18,1403.71
1,1766,18,1403.71
1,1767,18,1403.71
1,1768,18,1403.71
1,1769,18,1403.71
1,1770,18,1403.71
1,1771,18,1403.71
1,1772,18,1403.71
1,1773,18,1403.71
1,1774,18,1403.71
1,1775,18,1403.71
1,1776,18,1229.41
1,1777,18,1229.41
1,1778,18,1229.41
1,1779,18,1229.41
1,1780,18,1229.41
1,1781,18,1229.41
1,1782,18,1229.41
1,1783,18,1229.41
1,1784,18,1229.41
1,1785,18,1229.41
1,1786,18,1229.41
1,1787,18,1229.41
1,1788,18,1229.41
1,1789,18,1229.41
1,1790,18,1229.41
1,1791,18,1229.41
1,1792,18,1229.41
1,1793,18,1229.41
1,1794,18,1229.41
1,1795,18,1229.41
1,1796,18,1229.41
1,1797,18,1229.41
1,1798,18,1229.41
1,1799,18,1229.41
1,1800,18,1229.41
1,1801,18,1229.41
1,1802,18,1229.41
1,1803,18,1229.41
1,1804,18,1229.41
1,1805,18,1229.41
1,1806,18,1229.41
1,1807,18,1229.41
1,1808,18,1229.41
1,1809,18,1229.41
1,1810,18,1229.41
1,1811,18,1229.41
1,1812,18,1229.41
1,1813,18,1229.41
1,1814,18,1229.41
1,1815,18,1229.41
1,1816,18,1229.41
1,1817,18,1229.41
1,1818,18,1229.41
1,1819,18,1229.41
1,1820,18,1229.41
1,1821,18,1229.41
1,1822,18,1229.41
1,1823,18,1229.41
1,1824,18,1229.41
1,1825,18,1229.41
1,1826,18,1229.41
1,1827,18,1229.41
1,1828,18,1229.41
1,1829,18,1229.41
1,1830,18,1229.41
1,1831,18,1229.41
1,1832,18,1229.41
1,1833,18,1229.41
1,1834,18,1229.41
1,1835,18,1229.41
1,1836,18,1229.41
1,1837,18,1229.41
1,1838,18,1229.41
1,1839,18,1229.41
1,1840,18,1229.41
1,1841,18,1229.41
1,1842,18,1229.41
1,1843,18,1229.41
1,1844,18,1229.41
1,1845,18,1229.41
1,1846,18,1229.41
1,1847,18,1229.41
1,1848,18,1229.41
1,1849,18,1229.41
1,1850,18,1229.41
1,1851,18,1229.41
1,1852,18,1229.41
1,1853,18,1229.41
1,1854,18,1229.41
1,1855,18,1229.41
1,1856,18,1229.41
1,1857,18,1229.41
1,1858,18,1229.41
1,1859,18,1229.41
1,1860,18,1229.41
1,1861,18,1229.41
1,1862,18,1229.41
1,1863,18,1229.41
1,1864,18,1229.41
1,1865,18,1229.41
1,1866,18,1229.41
1,1867,18,1229.41
1,1868,18,1229.41
1,1869,18,1229.41
1,1870,18,1229.41
1,1871,18,1229.41
1,1872,18,1229.41
1,1873,18,1229.41
1,1874,18,1229.41
1,1875,18,1229.41
1,1876,18,1229.41
1,1877,18,1229.41
1,1878,18,1229.41
1,1879,18,1229.41
1,1880,18,1229.41
1,1881,18,1229.41
1,1882,18,1229.41
1,1883,18,1229.41
1,1884,18,1229.41
1,1885,18,1229.41
1,1886,18,1229.41
1,1887,18,1229.41
1,1888,18,1229.41
1,1889,18,1229.41
1,1890,18,1229.41
1,1891,18,1229.41
1,1892,18,1229.41
1,1893,18,1229.41
1,1894,18,1229.41
1,1895,18,1229.41
1,1896,18,1229.41
1,1897,18,1229.41
1,1898,18,1229.41
1,1899,18,1229.41
1,1900,18,1229.41
1,1901,18,1229.41
1,1902,18,1229.41
1,1903,18,1229.41
1,1904,18,1229.41
1,1905,18,1229.41
1,1906,18,1229.41
1,1907,18,1229.41
1,1908,18,1229.41
1,1909,18,1229.41
1,1910,18,1229.41
1,1911,18,1229.41
1,1912,18,1229.41
1,1913,18,1229.41
1,1914,18,1229.41
1,1915,18,1229.41
1,1916,18,1229.41
1,1917,18,1229.41
1,1918,18,1229.41
1,1919,18,1229.41
1,1920,18,1229.41
1,1921,18,1229.41
1,1922,18,1229.41
1,1923,18,1229.41
1,1924,18,1229.41
1,1925,18,1229.41
1,1926,18,1229.41
1,1927,18,1229.41
1,1928,18,1229.41
1,1929,18,1229.41
1,1930,18,1229.41
1,1931,18,1229.41
1,1932,18,1229.41
1,1933,18,1229.41
1,1934,18,1229.41
1,1935,18,1229.41
1,1936,18,1229.41
1,1937,18,1229.41
1,1938,18,1229.41
1,1939,18,1229.41
1,1940,18,1229.41
1,1941,18,1229.41
1,1942,18,1229.41
1,1943,18,1229.41
1,1944,18,1229.41
1,1945,18,1229.41
1,1946,18,1229.41
1,1947,18,1229.41
1,1948,18,1229.41
1,1949,18,1229.41
1,1950,18,1229.41
1,1951,18,1229.41
1,1952,18,1229.41
1,1953,18,1229.41
1,1954,18,1229.41
