test, rrt iteration, number of waypoints, distance to goal
1,1261,0,1770.8
1,1262,29,1770.8
1,1263,30,1770.8
1,1264,30,1770.8
1,1265,30,1770.8
1,1266,30,1770.8
1,1267,30,1770.8
1,1268,30,1770.8
1,1269,30,1770.8
1,1270,30,1770.8
1,1271,30,1770.8
1,1272,30,1770.8
1,1273,30,1770.8
1,1274,30,1770.8
1,1275,29,1770.8
1,1276,29,1770.8
1,1277,29,1767.89
1,1278,29,1767.89
1,1279,29,1767.89
1,1280,29,1767.89
1,1281,29,1767.89
1,1282,29,1767.89
1,1283,29,1767.89
1,1284,29,1767.89
1,1285,29,1767.89
1,1286,29,1767.89
1,1287,29,1767.89
1,1288,29,1767.89
1,1289,29,1767.89
1,1290,29,1767.89
1,1291,29,1767.89
1,1292,29,1767.89
1,1293,28,1767.89
1,1294,27,1767.89
1,1295,27,1706.91
1,1296,27,1706.91
1,1297,27,1706.91
1,1298,27,1706.91
1,1299,27,1706.91
1,1300,27,1706.91
1,1301,27,1706.91
1,1302,27,1706.91
1,1303,27,1706.91
1,1304,27,1706.91
1,1305,27,1706.91
1,1306,27,1706.91
1,1307,27,1706.91
1,1308,27,1706.91
1,1309,27,1706.91
1,1310,27,1706.91
1,1311,27,1706.91
1,1312,26,1706.91
1,1313,26,1706.91
1,1314,26,1706.91
1,1315,26,1706.91
1,1316,26,1706.91
1,1317,26,1706.91
1,1318,26,1706.91
1,1319,26,1698.6
1,1320,26,1673.09
1,1321,26,1673.09
1,1322,26,1673.09
1,1323,26,1673.09
1,1324,26,1673.09
1,1325,25,1673.09
1,1326,26,1673.09
1,1327,26,1673.09
1,1328,26,1673.09
1,1329,25,1673.09
1,1330,25,1669.3
1,1331,25,1669.3
1,1332,25,1669.3
1,1333,25,1669.3
1,1334,24,1669.3
1,1335,24,1669.3
1,1336,24,1669.3
1,1337,24,1669.3
1,1338,24,1669.3
1,1339,24,1669.3
1,1340,24,1652.95
1,1341,24,1652.95
1,1342,24,1652.95
1,1343,24,1652.95
1,1344,24,1652.95
1,1345,24,1652.95
1,1346,24,1652.95
1,1347,24,1652.95
1,1348,24,1652.95
1,1349,24,1652.95
1,1350,23,1652.95
1,1351,23,1652.95
1,1352,24,1652.95
1,1353,24,1652.95
1,1354,24,1652.95
1,1355,24,1652.95
1,1356,24,1652.95
1,1357,24,1568.33
1,1358,24,1568.33
1,1359,24,1568.33
1,1360,24,1568.33
1,1361,23,1568.33
1,1362,23,1568.33
1,1363,23,1568.33
1,1364,23,1568.33
1,1365,23,1568.33
1,1366,23,1568.33
1,1367,23,1567.79
1,1368,23,1567.79
1,1369,23,1567.79
