test, rrt iteration, number of waypoints, distance to goal
1,346,0,1428.54
1,347,22,1428.54
1,348,22,1417.28
1,349,22,1417.28
1,350,22,1417.28
1,351,22,1417.28
1,352,22,1417.28
1,353,22,1417.28
1,354,20,1417.28
1,355,20,1417.28
1,356,20,1417.28
1,357,20,1415.56
1,358,20,1415.56
1,359,20,1415.56
1,360,20,1415.56
1,361,20,1415.56
1,362,20,1415.56
1,363,20,1415.56
1,364,19,1415.56
1,365,19,1415.56
1,366,19,1415.56
1,367,21,1349.62
1,368,18,1349.62
1,369,18,1349.62
1,370,18,1349.62
1,371,18,1349.62
1,372,18,1349.62
1,373,18,1349.62
1,374,18,1349.62
1,375,18,1349.62
1,376,18,1349.62
1,377,18,1349.62
1,378,18,1349.62
1,379,18,1349.62
1,380,18,1349.62
1,381,18,1349.62
1,382,18,1349.62
1,383,18,1349.62
1,384,18,1349.62
1,385,18,1341.74
1,386,21,1341.74
1,387,19,1341.74
1,388,19,1341.74
1,389,19,1341.74
1,390,19,1341.74
1,391,20,1341.74
1,392,20,1341.74
1,393,20,1341.74
1,394,20,1341.74
1,395,20,1337.86
1,396,20,1337.86
1,397,20,1337.86
1,398,20,1337.86
1,399,20,1337.86
1,400,20,1337.86
1,401,20,1337.86
1,402,20,1337.86
1,403,20,1337.86
1,404,20,1337.86
1,405,20,1304.44
1,406,20,1304.44
1,407,20,1304.44
1,408,20,1304.44
1,409,19,1304.44
1,410,19,1304.44
1,411,19,1304.44
1,412,19,1304.44
1,413,19,1304.44
1,414,19,1304.44
1,415,19,1304.44
1,416,19,1293.89
1,417,19,1293.89
1,418,18,1293.89
1,419,18,1293.89
1,420,18,1293.89
1,421,19,1293.89
1,422,19,1293.89
1,423,19,1293.89
1,424,19,1293.89
1,425,20,1293.89
1,426,20,1267.13
1,427,20,1267.13
1,428,20,1267.13
1,429,19,1267.13
1,430,19,1267.13
1,431,19,1267.13
1,432,19,1267.13
1,433,19,1267.13
1,434,19,1267.13
1,435,19,1236.49
1,436,19,1236.49
1,437,19,1236.49
1,438,19,1236.49
1,439,19,1236.49
1,440,19,1236.49
1,441,19,1236.49
1,442,20,1233.35
1,443,20,1231.34
1,444,20,1231.34
1,445,20,1231.34
1,446,20,1231.34
1,447,20,1231.34
1,448,20,1231.34
1,449,20,1227.07
1,450,20,1227.07
1,451,20,1227.07
1,452,20,1227.07
1,453,20,1227.07
1,454,21,1227.07
1,455,21,1227.07
1,456,21,1227.07
1,457,21,1227.07
1,458,21,1227.07
1,459,21,1227.07
1,460,21,1227.07
1,461,21,1227.07
1,462,21,1213.58
1,463,21,1212.54
1,464,22,1212.54
1,465,23,1212.54
1,466,23,1212.54
1,467,23,1212.54
1,468,22,1211.09
1,469,22,1211.09
1,470,20,1211.09
1,471,21,1211.09
1,472,21,1211.09
1,473,21,1211.09
1,474,21,1211.09
1,475,21,1211.09
1,476,21,1211.09
1,477,21,1211.09
1,478,21,1211.09
1,479,21,1211.09
1,480,19,1211.09
1,481,19,1182.18
1,482,19,1182.18
1,483,19,1182.18
1,484,19,1182.18
1,485,19,1182.18
1,486,20,1182.18
1,487,20,1182.18
1,488,19,1182.18
1,489,19,1165.5
1,490,19,1165.5
1,491,19,1165.5
1,492,19,1165.5
1,493,19,1165.5
1,494,19,1165.5
1,495,19,1165.5
1,496,19,1165.5
1,497,19,1165.5
1,498,19,1165.5
1,499,19,1165.5
1,500,19,1165.5
1,501,19,1165.5
1,502,19,1156.2
1,503,18,1156.2
1,504,18,1156.2
1,505,18,1156.2
1,506,18,1156.2
1,507,18,1156.2
1,508,18,1156.2
1,509,17,1156.2
1,510,17,1156.2
1,511,17,1156.2
1,512,17,1156.2
1,513,17,1156.2
1,514,17,1156.2
1,515,17,1156.19
1,516,17,1156.19
1,517,17,1156.19
1,518,17,1156.19
1,519,17,1156.19
1,520,17,1156.19
1,521,17,1156.19
1,522,18,1156.19
1,523,17,1156.19
1,524,17,1156.19
1,525,17,1156.19
1,526,17,1156.19
1,527,17,1156.19
1,528,17,1156.19
1,529,17,1156.19
1,530,17,1108.05
1,531,17,1108.05
1,532,17,1108.05
1,533,17,1108.05
1,534,17,1108.05
1,535,17,1108.05
1,536,17,1108.05
1,537,17,1108.05
1,538,18,1108.05
1,539,18,1108.05
1,540,18,1108.05
1,541,18,1108.05
1,542,18,1108.05
1,543,18,1108.05
1,544,18,1108.05
1,545,18,1108.05
1,546,18,1108.05
1,547,18,1108.05
1,548,18,1108.05
1,549,19,1108.05
1,550,19,1108.05
1,551,19,1108.05
1,552,19,1108.05
1,553,19,1083.86
1,554,19,1081.03
1,555,18,1081.03
1,556,18,1081.03
1,557,18,1081.03
1,558,18,1081.03
1,559,18,1081.03
1,560,18,1081.03
1,561,18,1081.03
1,562,18,1081.03
1,563,18,1081.03
1,564,18,1081.03
1,565,18,1068.63
1,566,18,1068.63
1,567,18,1068.63
1,568,16,1068.63
1,569,16,1068.63
1,570,16,1068.63
1,571,16,1068.63
1,572,16,1068.63
1,573,16,1068.63
1,574,16,1068.63
1,575,16,1068.63
1,576,16,1068.63
1,577,16,1068.63
1,578,16,1068.63
1,579,16,1068.63
1,580,16,1068.63
1,581,16,1068.63
1,582,16,1068.63
1,583,16,1068.63
1,584,16,1068.63
1,585,16,1062.23
1,586,16,1062.23
1,587,16,1062.23
1,588,16,1062.23
1,589,16,1062.23
1,590,16,1062.23
1,591,16,1062.23
1,592,16,1062.23
1,593,16,1062.23
1,594,16,1062.23
1,595,16,1062.23
1,596,16,1062.23
1,597,16,1060.19
1,598,16,1060.19
1,599,16,1058.73
1,600,16,1058.73
1,601,16,1058.73
1,602,16,1045.06
1,603,16,1045.06
1,604,17,1045.06
1,605,17,1045.06
1,606,17,1045.06
1,607,17,1045.06
1,608,16,1045.06
1,609,16,1045.06
1,610,16,1045.06
1,611,16,1045.06
1,612,16,1045.06
1,613,16,1045.06
1,614,16,1023.74
1,615,17,1023.74
1,616,17,1023.74
1,617,17,1023.74
1,618,17,1023.74
1,619,17,1023.74
1,620,17,1022.33
1,621,17,1022.33
1,622,17,1022.33
1,623,17,1022.33
1,624,17,1022.33
1,625,17,1022.33
1,626,17,1022.33
1,627,17,1022.33
1,628,17,1022.33
1,629,17,1022.33
1,630,18,1022.33
1,631,18,1022.33
1,632,18,1022.33
1,633,18,1022.33
1,634,18,1022.33
1,635,18,1022.33
1,636,18,1022.33
1,637,18,1022.33
1,638,18,1022.33
1,639,18,1022.33
1,640,18,1022.33
1,641,18,1022.33
1,642,18,1022.33
1,643,18,1022.33
1,644,19,1022.33
1,645,19,1022.33
1,646,19,1022.33
1,647,19,1022.33
1,648,19,1022.33
1,649,19,1022.33
1,650,19,1022.33
1,651,19,1022.33
1,652,18,1022.33
1,653,18,1020.22
1,654,18,1020.22
1,655,18,1020.22
1,656,18,1020.22
1,657,18,1020.22
1,658,18,1008.05
1,659,16,1008.05
1,660,16,1008.05
1,661,18,1008.05
1,662,18,1008.05
1,663,18,1008.05
1,664,18,1008.05
1,665,18,1008.05
1,666,18,1008.05
1,667,18,1008.05
1,668,18,1000.97
1,669,18,1000.97
1,670,18,1000.97
1,671,18,1000.97
1,672,18,1000.97
1,673,18,1000.97
1,674,18,1000.97
1,675,18,1000.97
1,676,18,1000.97
1,677,18,1000.97
1,678,18,984.866
1,679,18,984.866
1,680,18,984.866
1,681,17,984.5
1,682,17,984.5
1,683,17,984.5
1,684,17,984.5
1,685,17,984.5
1,686,17,984.5
1,687,17,984.5
1,688,17,972.106
1,689,17,972.106
1,690,17,972.106
1,691,17,972.106
1,692,17,970.93
1,693,17,970.93
1,694,16,967.144
1,695,16,967.144
1,696,16,967.144
1,697,15,967.144
1,698,15,967.144
1,699,15,967.144
1,700,15,967.144
1,701,15,967.144
1,702,15,967.144
1,703,15,967.144
1,704,15,966.172
1,705,16,966.172
1,706,16,966.172
1,707,16,966.172
1,708,16,966.172
1,709,15,966.172
1,710,15,966.172
1,711,15,966.172
1,712,15,957.721
1,713,15,957.721
1,714,15,957.721
1,715,15,957.721
1,716,15,957.721
1,717,15,957.721
1,718,15,957.721
1,719,15,957.721
1,720,15,957.721
1,721,15,957.721
1,722,15,957.721
1,723,15,927.248
1,724,15,918.165
1,725,15,918.165
1,726,15,918.165
1,727,15,918.165
1,728,15,918.165
1,729,15,918.165
1,730,15,918.165
1,731,15,918.165
1,732,15,918.165
1,733,15,918.165
1,734,15,918.165
1,735,15,918.165
1,736,15,918.165
1,737,15,918.165
1,738,15,918.165
1,739,15,918.165
1,740,15,913.374
1,741,15,913.374
1,742,15,913.374
1,743,15,913.374
1,744,15,913.374
1,745,15,913.374
1,746,16,913.374
1,747,16,911.743
1,748,16,911.743
1,749,16,911.743
1,750,16,911.743
1,751,16,911.743
1,752,16,911.743
1,753,16,911.743
1,754,16,911.743
1,755,16,911.743
1,756,16,911.743
1,757,16,911.743
1,758,16,911.743
1,759,16,911.743
1,760,16,899.618
1,761,17,899.618
1,762,17,899.618
1,763,17,899.618
1,764,17,899.618
1,765,17,899.618
1,766,17,899.618
1,767,17,899.618
1,768,17,899.618
1,769,17,899.618
1,770,17,899.618
1,771,17,899.618
1,772,17,899.618
1,773,17,899.618
1,774,17,899.618
1,775,18,899.618
1,776,18,899.618
1,777,18,899.618
1,778,18,899.232
1,779,18,898.906
1,780,18,898.502
1,781,18,898.502
1,782,19,898.502
1,783,19,898.502
1,784,19,898.502
1,785,18,898.502
1,786,18,898.502
1,787,18,898.502
1,788,18,898.502
1,789,18,898.502
1,790,18,898.502
1,791,18,898.502
1,792,18,898.502
1,793,18,898.502
1,794,18,898.502
1,795,18,895.089
1,796,18,892.181
1,797,18,892.181
1,798,18,892.181
1,799,20,892.181
1,800,18,892.181
1,801,18,892.181
1,802,18,892.181
1,803,18,892.181
1,804,18,892.181
1,805,18,892.181
1,806,18,892.181
1,807,18,892.181
1,808,18,892.181
1,809,18,892.181
1,810,18,892.181
1,811,18,892.181
1,812,18,892.181
1,813,18,892.181
1,814,18,892.181
1,815,18,885.37
1,816,18,885.37
1,817,18,885.37
1,818,18,885.37
1,819,18,885.37
1,820,18,885.37
1,821,18,885.37
1,822,18,885.37
1,823,18,885.37
1,824,18,884.929
1,825,18,884.929
1,826,18,884.929
1,827,18,884.929
1,828,18,884.929
1,829,18,884.929
1,830,18,884.929
1,831,18,884.929
1,832,18,884.929
1,833,18,882.091
1,834,18,882.091
1,835,18,882.091
1,836,18,882.091
1,837,18,882.091
1,838,18,882.091
1,839,18,882.091
1,840,18,882.091
1,841,18,882.091
1,842,18,882.091
1,843,18,882.091
1,844,18,882.091
1,845,18,882.091
1,846,19,882.091
1,847,19,882.091
1,848,19,882.091
1,849,19,882.091
1,850,19,882.091
1,851,19,877.767
1,852,19,877.767
1,853,19,877.767
1,854,19,877.767
1,855,19,877.767
1,856,19,877.767
1,857,19,877.767
1,858,19,877.767
1,859,19,877.767
1,860,19,877.767
1,861,19,877.767
1,862,19,877.767
1,863,19,877.767
1,864,19,877.767
1,865,19,877.767
