test, rrt iteration, number of waypoints, distance to goal
1,1601,0,1437.69
1,1602,23,1437.69
1,1603,23,1437.69
1,1604,23,1437.69
1,1605,23,1437.69
1,1606,24,1437.69
1,1607,24,1437.69
1,1608,24,1345.08
1,1609,24,1345.08
1,1610,24,1345.08
1,1611,24,1345.08
1,1612,24,1345.08
1,1613,24,1345.08
1,1614,24,1345.08
1,1615,24,1345.08
1,1616,24,1345.08
1,1617,24,1345.08
1,1618,24,1345.08
1,1619,24,1345.08
1,1620,24,1345.08
1,1621,24,1345.08
1,1622,24,1345.08
1,1623,24,1345.08
1,1624,24,1345.08
1,1625,24,1345.08
1,1626,24,1345.08
1,1627,24,1345.08
1,1628,24,1345.08
1,1629,24,1345.08
1,1630,24,1345.08
1,1631,24,1331.94
1,1632,24,1331.94
1,1633,24,1331.94
1,1634,24,1331.94
1,1635,24,1331.94
1,1636,24,1324.12
1,1637,24,1324.12
1,1638,24,1324.12
1,1639,24,1324.12
1,1640,24,1324.12
1,1641,24,1324.12
1,1642,24,1324.12
1,1643,25,1324.12
1,1644,25,1324.12
1,1645,25,1324.12
1,1646,26,1324.12
1,1647,26,1324.12
1,1648,26,1324.12
1,1649,27,1324.12
1,1650,27,1324.12
1,1651,27,1324.12
1,1652,27,1324.12
1,1653,27,1324.12
1,1654,27,1324.12
1,1655,27,1324.12
1,1656,27,1324.12
1,1657,27,1324.12
1,1658,27,1324.12
1,1659,27,1324.12
1,1660,27,1324.12
1,1661,27,1324.12
1,1662,27,1324.12
1,1663,27,1324.12
1,1664,28,1324.12
1,1665,28,1324.12
1,1666,27,1324.12
1,1667,28,1324.12
1,1668,28,1323.43
1,1669,28,1323.43
1,1670,28,1319.66
1,1671,27,1319.66
1,1672,27,1319.66
1,1673,27,1319.66
1,1674,27,1319.66
1,1675,27,1319.66
1,1676,27,1319.66
1,1677,27,1319.66
1,1678,27,1319.66
1,1679,27,1319.66
1,1680,27,1319.66
1,1681,27,1319.66
1,1682,27,1319.66
1,1683,27,1306.94
1,1684,28,1306.94
1,1685,28,1306.94
1,1686,28,1305.18
1,1687,27,1305.18
1,1688,28,1305.18
1,1689,27,1305.18
1,1690,27,1305.16
1,1691,27,1305.16
1,1692,27,1305.16
1,1693,27,1305.16
1,1694,27,1305.16
1,1695,27,1305.16
1,1696,27,1305.16
1,1697,28,1305.16
1,1698,28,1305.16
1,1699,28,1305.16
1,1700,28,1305.16
1,1701,28,1305.16
1,1702,28,1305.16
1,1703,28,1305.16
1,1704,28,1305.16
1,1705,28,1303.46
1,1706,26,1303.46
1,1707,26,1303.46
1,1708,26,1303.46
1,1709,26,1303.46
1,1710,26,1303.46
1,1711,26,1301.48
1,1712,26,1301.48
1,1713,26,1301.48
1,1714,26,1301.48
1,1715,26,1301.48
1,1716,26,1301.48
1,1717,26,1301.48
1,1718,26,1301.48
1,1719,26,1301.48
1,1720,26,1301.48
1,1721,26,1301.48
1,1722,25,1301.48
1,1723,25,1301.48
1,1724,25,1301.48
1,1725,25,1301.48
1,1726,25,1301.48
1,1727,25,1301.48
1,1728,25,1301.07
1,1729,25,1301.07
1,1730,25,1301.07
1,1731,25,1301.07
1,1732,25,1301.07
1,1733,25,1301.07
1,1734,25,1301.07
1,1735,25,1301.07
1,1736,25,1301.07
1,1737,25,1301.07
1,1738,25,1298.93
1,1739,25,1298.78
1,1740,25,1298.78
1,1741,25,1298.78
1,1742,25,1298.78
1,1743,25,1298.78
1,1744,25,1298.78
1,1745,26,1298.78
1,1746,26,1298.78
1,1747,26,1298.78
1,1748,26,1298.78
1,1749,26,1298.78
1,1750,26,1298.78
