test, rrt iteration, number of waypoints, distance to goal
1,659,0,1820.87
1,660,24,1820.87
1,661,24,1820.87
1,662,24,1820.87
1,663,24,1820.87
1,664,25,1820.87
1,665,24,1820.87
1,666,24,1820.87
1,667,24,1820.87
1,668,24,1820.87
1,669,24,1820.87
1,670,24,1820.87
1,671,24,1820.87
1,672,24,1820.87
1,673,24,1820.87
1,674,24,1820.87
1,675,24,1820.87
1,676,24,1820.87
1,677,24,1820.87
1,678,24,1744.78
1,679,24,1744.78
1,680,23,1744.78
1,681,23,1744.78
1,682,23,1744.78
1,683,23,1744.78
1,684,23,1715.66
1,685,23,1715.33
1,686,24,1715.33
1,687,24,1715.33
1,688,24,1715.33
1,689,24,1715.33
1,690,24,1715.33
1,691,24,1715.33
1,692,24,1715.33
1,693,24,1715.33
1,694,24,1715.33
1,695,23,1715.33
1,696,23,1715.33
1,697,23,1715.33
1,698,23,1715.33
1,699,23,1713.74
1,700,23,1713.74
1,701,23,1713.74
1,702,23,1713.74
1,703,23,1713.74
1,704,23,1713.74
1,705,23,1713.74
1,706,23,1713.74
1,707,23,1713.74
1,708,23,1713.74
1,709,23,1713.74
1,710,23,1713.74
1,711,23,1713.74
1,712,23,1713.74
1,713,23,1713.74
1,714,23,1713.74
1,715,23,1713.74
1,716,23,1670.5
1,717,23,1670.5
1,718,23,1670.5
1,719,23,1670.5
1,720,23,1670.5
1,721,23,1670.5
1,722,23,1670.5
1,723,23,1670.5
1,724,23,1670.5
1,725,23,1670.5
1,726,23,1670.5
1,727,24,1670.5
1,728,24,1670.5
1,729,24,1670.5
1,730,24,1670.5
1,731,25,1670.5
1,732,25,1649.15
1,733,25,1649.15
1,734,25,1649.15
1,735,25,1649.15
1,736,25,1649.15
1,737,25,1645.63
1,738,24,1645.63
1,739,24,1645.63
1,740,24,1645.63
1,741,24,1645.63
1,742,24,1645.63
1,743,24,1645.63
1,744,24,1645.63
1,745,23,1645.63
1,746,23,1645.63
1,747,23,1645.63
1,748,22,1645.63
1,749,23,1645.63
1,750,23,1645.63
1,751,23,1645.63
1,752,23,1645.63
1,753,23,1645.63
1,754,23,1645.63
1,755,23,1645.63
1,756,23,1645.63
1,757,23,1645.63
1,758,23,1629.74
1,759,24,1629.74
1,760,24,1629.74
1,761,24,1629.74
1,762,24,1629.74
1,763,24,1629.74
1,764,24,1629.74
1,765,24,1629.74
1,766,25,1629.74
1,767,25,1629.74
1,768,25,1629.74
1,769,25,1629.74
1,770,25,1629.74
1,771,25,1629.74
1,772,25,1629.74
1,773,25,1629.74
1,774,25,1629.74
1,775,25,1629.74
1,776,25,1629.74
1,777,25,1629.74
1,778,24,1629.74
1,779,24,1629.74
1,780,24,1629.74
1,781,24,1629.74
1,782,24,1629.74
1,783,24,1629.74
1,784,24,1629.74
1,785,24,1629.74
1,786,22,1604.06
1,787,22,1604.06
1,788,22,1604.06
1,789,22,1604.06
1,790,22,1604.06
1,791,22,1604.06
1,792,22,1604.06
1,793,22,1604.06
1,794,22,1604.06
1,795,21,1604.06
1,796,21,1604.06
1,797,21,1604.06
1,798,21,1604.06
1,799,22,1604.06
1,800,22,1604.06
1,801,22,1604.06
1,802,22,1599.01
1,803,22,1599.01
1,804,22,1599.01
1,805,22,1599.01
1,806,22,1598.99
1,807,22,1598.99
1,808,22,1598.99
1,809,22,1598.99
1,810,22,1598.99
1,811,22,1598.99
1,812,22,1598.99
1,813,22,1563.22
1,814,22,1563.22
1,815,22,1563.22
1,816,22,1563.22
1,817,22,1563.22
1,818,22,1563.22
1,819,22,1563.22
1,820,22,1563.22
1,821,22,1563.22
1,822,22,1563.22
1,823,22,1563.22
1,824,22,1563.22
1,825,22,1563.22
1,826,22,1563.22
1,827,22,1563.22
1,828,22,1563.22
1,829,22,1563.22
1,830,22,1563.22
1,831,22,1563.22
1,832,22,1563.22
1,833,22,1563.22
1,834,22,1563.22
1,835,22,1563.22
1,836,22,1563.22
1,837,22,1559.48
1,838,22,1559.48
1,839,22,1559.48
1,840,22,1559.48
1,841,22,1559.48
1,842,22,1559.48
1,843,22,1559.48
1,844,22,1559.48
1,845,21,1559.48
1,846,21,1559.48
1,847,21,1559.48
