test, rrt iteration, number of waypoints, distance to goal
1,556,0,960.543
1,557,12,960.543
1,558,12,960.543
1,559,12,960.543
1,560,12,960.543
1,561,12,960.543
1,562,13,960.543
1,563,13,960.543
1,564,13,960.543
1,565,13,960.543
1,566,13,960.543
1,567,13,960.543
1,568,13,960.543
1,569,13,960.543
1,570,13,960.543
1,571,13,960.543
1,572,13,960.543
1,573,13,960.543
1,574,13,960.543
1,575,13,960.543
1,576,13,960.543
1,577,13,960.543
1,578,13,957.536
1,579,13,957.536
1,580,13,957.536
1,581,13,957.536
1,582,13,957.536
1,583,13,957.536
1,584,13,957.536
1,585,13,957.536
1,586,13,957.536
1,587,13,957.536
1,588,13,957.536
1,589,13,957.536
1,590,12,957.536
1,591,12,957.536
1,592,12,957.536
1,593,12,957.536
1,594,12,819.175
1,595,13,819.175
1,596,13,819.175
1,597,13,818.643
1,598,13,818.643
1,599,13,818.643
1,600,13,818.643
1,601,13,818.643
1,602,13,818.643
1,603,13,818.643
1,604,13,818.643
1,605,13,818.643
1,606,13,818.643
1,607,13,818.643
1,608,13,818.643
1,609,13,818.643
1,610,13,818.643
1,611,13,818.643
1,612,13,818.643
1,613,13,818.643
1,614,13,818.643
1,615,13,818.643
1,616,13,818.643
1,617,13,818.643
1,618,13,818.643
1,619,13,818.643
1,620,13,818.643
1,621,13,818.643
1,622,13,818.643
1,623,13,818.643
1,624,13,818.643
1,625,13,818.643
1,626,13,818.512
1,627,13,818.512
1,628,13,811.412
1,629,13,811.412
1,630,13,811.412
1,631,13,811.412
1,632,13,811.412
1,633,13,811.412
1,634,13,811.412
1,635,13,811.412
1,636,13,811.412
1,637,13,811.412
1,638,13,811.412
1,639,13,811.412
1,640,13,811.412
1,641,13,811.412
1,642,13,811.412
1,643,13,811.412
1,644,13,811.412
1,645,13,811.412
1,646,13,811.412
1,647,13,811.412
1,648,13,811.412
1,649,13,811.412
1,650,13,811.412
1,651,13,811.412
1,652,13,811.412
1,653,13,811.412
1,654,13,811.412
1,655,13,811.412
1,656,13,808.931
1,657,14,808.931
1,658,14,808.931
1,659,14,808.931
1,660,14,808.931
1,661,14,808.931
1,662,14,806.173
1,663,14,806.173
1,664,14,806.173
1,665,14,806.173
1,666,14,806.173
1,667,14,806.173
1,668,14,806.173
1,669,14,806.173
1,670,14,805.677
1,671,7,805.457
1,672,7,805.457
1,673,7,805.457
1,674,7,805.457
1,675,7,805.457
1,676,7,805.457
1,677,7,805.457
1,678,7,805.457
1,679,7,805.457
1,680,7,805.457
1,681,7,805.457
1,682,7,805.457
1,683,7,805.457
1,684,7,805.457
1,685,7,805.457
1,686,7,804.42
1,687,15,804.132
1,688,15,804.132
1,689,15,804.132
1,690,15,802.667
1,691,15,802.33
1,692,14,802.33
1,693,14,802.33
1,694,14,802.33
1,695,14,802.33
1,696,14,802.33
1,697,14,802.33
1,698,14,802.33
1,699,14,802.33
1,700,14,802.33
1,701,14,801.886
1,702,15,801.886
1,703,15,800.957
1,704,14,800.957
1,705,15,800.957
1,706,15,800.957
1,707,15,799.41
1,708,15,799.41
1,709,15,799.41
1,710,15,799.41
1,711,15,799.41
1,712,15,799.41
1,713,15,799.41
1,714,15,799.41
1,715,15,799.41
1,716,15,799.41
1,717,15,799.41
1,718,15,799.41
1,719,15,799.41
1,720,15,799.41
1,721,15,799.41
1,722,15,799.41
1,723,14,799.41
1,724,14,799.41
1,725,14,799.41
1,726,14,799.41
1,727,14,799.41
1,728,14,799.41
1,729,14,799.41
1,730,14,799.41
1,731,14,799.41
1,732,14,798.151
1,733,15,798.151
1,734,15,798.151
1,735,15,798.151
1,736,15,798.151
1,737,15,796.484
1,738,14,796.484
1,739,15,796.484
1,740,15,796.484
1,741,15,796.484
1,742,15,796.484
1,743,15,796.484
1,744,15,796.484
1,745,15,796.484
1,746,15,796.484
1,747,15,796.484
1,748,15,796.484
1,749,15,796.484
1,750,15,796.484
1,751,15,796.484
1,752,15,796.484
1,753,15,796.484
1,754,15,796.484
1,755,15,796.484
1,756,15,796.306
1,757,15,796.306
1,758,15,796.306
1,759,15,796.306
1,760,15,796.306
1,761,15,796.306
1,762,15,796.306
1,763,15,796.306
1,764,15,796.306
1,765,15,796.306
1,766,15,796.306
1,767,15,796.306
1,768,15,796.306
1,769,15,796.306
1,770,15,796.306
1,771,15,796.306
1,772,15,796.306
1,773,15,796.306
1,774,15,796.306
1,775,15,796.306
1,776,15,796.306
1,777,15,796.306
1,778,15,796.306
1,779,15,796.306
1,780,15,796.306
1,781,15,796.306
1,782,15,796.306
1,783,15,796.306
1,784,15,796.306
1,785,15,796.306
1,786,15,796.306
1,787,15,796.306
1,788,15,796.306
1,789,15,796.306
1,790,15,796.306
1,791,15,796.306
1,792,15,796.306
1,793,15,796.306
1,794,15,796.306
1,795,15,796.306
1,796,15,796.306
1,797,15,796.306
1,798,15,796.306
1,799,15,796.306
1,800,15,796.306
1,801,15,796.306
1,802,15,796.306
1,803,15,796.306
1,804,15,796.306
1,805,15,794.774
1,806,15,794.774
1,807,15,794.774
1,808,15,794.774
1,809,15,794.774
1,810,15,794.774
1,811,15,794.774
1,812,15,794.774
1,813,15,794.774
1,814,15,794.774
1,815,15,794.774
1,816,15,794.774
