test, rrt iteration, number of waypoints, distance to goal
1,794,0,374.207
1,795,31,374.207
1,796,31,374.207
1,797,31,374.207
1,798,31,374.207
1,799,31,374.207
1,800,31,374.207
1,801,31,374.207
1,802,31,374.207
1,803,31,374.207
1,804,31,374.207
1,805,31,374.207
1,806,31,374.207
1,807,31,374.207
1,808,31,374.207
1,809,31,369.352
1,810,31,369.352
1,811,31,369.352
1,812,31,369.352
1,813,31,369.352
1,814,31,369.352
1,815,31,369.352
1,816,31,369.352
1,817,31,369.352
1,818,31,369.352
1,819,31,369.352
1,820,31,369.352
1,821,31,356.96
1,822,31,356.96
1,823,31,356.96
1,824,31,356.96
1,825,31,356.96
1,826,31,356.96
1,827,31,356.96
1,828,31,356.96
1,829,31,356.96
1,830,31,356.96
1,831,31,356.96
1,832,31,356.96
1,833,31,356.96
1,834,31,356.96
1,835,31,356.96
1,836,31,356.96
1,837,31,356.96
1,838,31,356.96
1,839,31,356.96
1,840,31,356.96
1,841,31,356.96
1,842,31,356.96
1,843,31,356.96
1,844,31,356.96
1,845,31,356.96
1,846,31,356.96
1,847,31,356.96
1,848,31,356.96
1,849,31,356.96
1,850,31,356.96
1,851,31,356.96
1,852,31,356.96
1,853,31,356.96
1,854,31,356.96
1,855,31,356.96
1,856,31,356.96
1,857,31,356.96
1,858,31,356.96
1,859,31,356.96
1,860,31,356.96
1,861,31,356.96
1,862,31,356.96
1,863,31,356.96
1,864,31,350.893
1,865,31,350.893
1,866,31,350.893
1,867,31,350.893
1,868,31,350.893
1,869,31,350.893
1,870,31,350.893
1,871,31,350.893
1,872,31,350.893
1,873,31,350.893
1,874,31,350.893
1,875,31,350.893
1,876,31,350.893
1,877,31,350.893
1,878,31,350.893
1,879,31,350.893
1,880,31,350.893
1,881,31,350.893
1,882,31,350.893
1,883,31,350.893
1,884,31,350.893
1,885,31,350.893
1,886,31,350.893
1,887,31,350.893
1,888,31,350.893
1,889,30,350.893
1,890,30,350.893
1,891,30,350.893
1,892,30,350.893
1,893,30,350.893
1,894,30,350.893
1,895,30,350.893
1,896,30,350.893
1,897,30,350.893
1,898,30,350.893
1,899,30,350.893
1,900,30,349.408
1,901,30,349.408
1,902,30,349.408
1,903,30,349.408
1,904,30,349.408
1,905,30,349.408
1,906,30,349.408
1,907,30,349.408
1,908,30,349.408
1,909,30,349.408
1,910,30,349.408
1,911,30,349.408
1,912,30,349.408
1,913,30,349.408
1,914,30,349.408
1,915,30,349.408
1,916,30,349.408
1,917,30,349.408
