test, rrt iteration, number of waypoints, distance to goal,
1,742,0,372.906,713.569241672573
1,743,31,372.906,713.569241672573
1,744,31,372.906,713.569241672573
1,745,31,372.906,713.569241672573
1,746,31,372.906,713.569241672573
1,747,31,372.906,713.569241672573
1,748,31,372.906,713.569241672573
1,749,31,372.906,713.569241672573
1,750,31,372.906,713.569241672573
1,751,31,372.906,713.569241672573
1,752,31,372.906,713.569241672573
1,753,31,372.906,713.569241672573
1,754,31,372.906,713.569241672573
1,755,31,372.906,713.569241672573
1,756,31,372.906,713.569241672573
1,757,30,371.659,711.183061658398
1,758,30,371.659,711.183061658398
1,759,30,371.659,711.183061658398
1,760,30,371.659,711.183061658398
1,761,30,371.659,711.183061658398
1,762,30,371.659,711.183061658398
1,763,30,371.659,711.183061658398
1,764,30,371.659,711.183061658398
1,765,30,371.659,711.183061658398
1,766,30,371.659,711.183061658398
1,767,30,371.659,711.183061658398
1,768,30,371.659,711.183061658398
1,769,30,371.659,711.183061658398
1,770,30,371.659,711.183061658398
1,771,30,371.659,711.183061658398
1,772,30,371.659,711.183061658398
1,773,30,371.659,711.183061658398
1,774,30,371.659,711.183061658398
1,775,30,371.659,711.183061658398
1,776,30,371.659,711.183061658398
1,777,31,371.659,711.183061658398
1,778,31,343.353,657.01849751949
1,779,31,343.353,657.01849751949
1,780,30,343.353,657.01849751949
1,781,29,343.353,657.01849751949
1,782,29,343.353,657.01849751949
1,783,29,343.353,657.01849751949
1,784,29,343.353,657.01849751949
1,785,29,343.353,657.01849751949
1,786,29,343.353,657.01849751949
1,787,29,343.353,657.01849751949
1,788,29,343.353,657.01849751949
1,789,29,343.353,657.01849751949
1,790,29,343.353,657.01849751949
1,791,29,343.353,657.01849751949
1,792,30,343.353,657.01849751949
1,793,30,343.353,657.01849751949
1,794,30,343.353,657.01849751949
1,795,30,343.353,657.01849751949
1,796,30,343.353,657.01849751949
1,797,30,343.353,657.01849751949
1,798,30,343.353,657.01849751949
1,799,30,343.353,657.01849751949
1,800,30,343.353,657.01849751949
1,801,30,343.353,657.01849751949
1,802,30,336.366,643.648618001417
1,803,30,336.366,643.648618001417
1,804,30,336.366,643.648618001417
1,805,29,336.366,643.648618001417
1,806,29,336.366,643.648618001417
1,807,29,333.869,638.870517363572
1,808,28,333.869,638.870517363572
1,809,28,333.869,638.870517363572
1,810,28,333.869,638.870517363572
1,811,28,333.869,638.870517363572
