test, rrt iteration, number of waypoints, distance to goal
1,390,0,199.904
1,391,45,198.117
1,392,45,198.117
1,393,45,198.117
1,394,45,198.117
1,395,45,198.117
1,396,45,198.117
1,397,45,198.117
1,398,45,198.117
1,399,45,198.117
1,400,45,198.117
1,401,45,198.117
1,402,45,198.117
1,403,45,198.117
1,404,45,198.117
1,405,45,197.758
1,406,45,197.758
1,407,45,197.758
1,408,45,197.758
1,409,45,197.758
1,410,45,197.758
1,411,45,197.758
1,412,45,197.758
1,413,45,197.758
1,414,45,197.758
1,415,45,197.758
1,416,45,197.758
1,417,45,197.758
1,418,45,197.758
1,419,45,197.758
1,420,45,197.758
1,421,45,197.758
1,422,45,197.758
1,423,45,197.758
1,424,45,197.758
1,425,45,197.758
1,426,45,197.758
1,427,46,197.758
1,428,46,197.758
1,429,46,197.758
1,430,46,197.758
1,431,46,197.758
1,432,46,197.758
1,433,46,197.758
1,434,46,195.781
1,435,46,195.781
1,436,46,195.781
1,437,46,195.781
1,438,46,195.781
1,439,46,195.781
1,440,46,195.781
1,441,46,194.542
1,442,46,194.542
1,443,46,194.542
1,444,46,194.542
1,445,46,194.542
1,446,46,194.542
1,447,46,194.542
1,448,46,194.542
1,449,46,194.542
1,450,46,194.542
1,451,46,194.542
1,452,46,194.542
1,453,46,194.542
1,454,46,194.542
1,455,46,194.542
1,456,46,194.542
1,457,46,194.542
1,458,46,194.542
1,459,46,194.542
1,460,46,194.542
1,461,46,194.542
1,462,46,194.542
1,463,46,194.542
1,464,46,194.542
1,465,46,194.542
1,466,46,194.542
1,467,46,194.542
1,468,46,194.542
1,469,46,194.542
1,470,46,194.542
1,471,46,194.542
1,472,46,194.542
1,473,46,194.542
1,474,46,194.542
1,475,46,194.542
1,476,46,194.542
1,477,46,194.542
1,478,46,194.542
1,479,46,194.542
1,480,46,194.542
1,481,46,194.542
1,482,46,194.542
1,483,46,194.542
1,484,46,194.542
1,485,46,194.542
1,486,46,194.542
1,487,46,194.542
1,488,46,194.542
1,489,46,194.542
1,490,46,194.542
1,491,46,194.542
1,492,46,194.542
1,493,46,194.542
1,494,46,194.542
1,495,46,194.542
