test, rrt iteration, number of waypoints, distance to goal
1,719,0,195.564
1,720,55,195.564
1,721,55,195.564
1,722,55,195.564
1,723,55,195.564
1,724,55,195.564
1,725,55,195.564
1,726,55,195.564
1,727,55,195.564
1,728,55,195.564
1,729,55,195.564
1,730,55,195.564
1,731,55,195.564
1,732,55,195.564
1,733,55,195.564
1,734,55,195.564
1,735,55,195.564
1,736,55,195.564
1,737,55,195.564
1,738,55,195.564
1,739,55,195.564
1,740,55,195.564
1,741,55,195.564
1,742,55,195.564
1,743,55,195.564
1,744,55,195.564
1,745,55,195.564
1,746,55,195.564
1,747,55,195.564
1,748,55,195.564
1,749,55,195.564
1,750,55,195.564
1,751,55,195.564
1,752,55,195.564
1,753,55,195.564
1,754,55,195.564
1,755,55,195.564
1,756,55,195.564
1,757,55,195.564
1,758,55,195.564
1,759,55,195.564
1,760,55,195.564
1,761,55,195.564
1,762,55,195.564
1,763,55,195.564
1,764,55,195.564
1,765,55,195.564
1,766,55,195.564
1,767,55,195.564
1,768,55,195.564
1,769,55,195.564
1,770,55,195.564
1,771,55,195.564
1,772,55,195.564
1,773,55,195.564
1,774,55,195.564
1,775,55,195.564
1,776,55,195.564
1,777,55,195.564
1,778,55,195.564
1,779,55,195.564
1,780,55,195.564
1,781,55,195.564
1,782,55,195.564
1,783,55,195.564
1,784,55,195.564
1,785,55,195.564
1,786,55,195.564
1,787,55,195.564
1,788,55,195.564
1,789,55,195.564
1,790,55,195.564
1,791,55,195.564
1,792,55,195.564
1,793,55,195.564
1,794,55,195.564
1,795,55,195.564
1,796,55,195.564
1,797,55,195.564
1,798,55,195.564
1,799,55,195.564
1,800,55,195.564
1,801,55,195.564
1,802,55,195.564
1,803,55,195.564
1,804,55,195.564
1,805,55,195.564
1,806,55,195.564
1,807,55,195.564
1,808,55,195.564
1,809,55,195.564
1,810,55,195.564
1,811,55,195.564
1,812,55,195.564
1,813,55,195.564
1,814,55,195.564
1,815,55,195.564
1,816,55,195.564
1,817,55,195.564
1,818,55,195.564
1,819,55,195.564
1,820,55,195.564
1,821,55,195.564
1,822,55,195.564
1,823,55,195.564
1,824,55,195.564
1,825,55,195.564
1,826,55,195.564
1,827,55,195.564
1,828,55,195.564
1,829,55,195.564
1,830,55,195.564
1,831,55,195.564
1,832,55,195.564
1,833,55,195.564
1,834,55,195.564
1,835,55,195.169
1,836,55,195.169
1,837,55,195.169
1,838,55,195.169
1,839,55,195.169
1,840,55,195.169
1,841,55,194.672
1,842,55,194.672
1,843,55,194.672
1,844,55,194.672
1,845,55,194.672
1,846,55,194.672
1,847,55,194.672
1,848,55,194.672
1,849,55,194.672
1,850,55,194.672
1,851,55,194.672
1,852,55,194.672
1,853,55,194.672
1,854,55,194.672
1,855,55,194.672
1,856,55,194.672
1,857,55,194.672
1,858,55,194.672
1,859,55,194.672
1,860,55,194.672
1,861,55,194.672
1,862,55,194.672
1,863,55,194.672
1,864,55,194.672
1,865,55,193.618
1,866,55,193.618
1,867,55,193.618
1,868,55,193.618
1,869,55,193.618
1,870,55,193.618
1,871,55,193.618
1,872,55,193.618
1,873,55,193.618
1,874,55,193.618
1,875,55,193.618
1,876,55,192.921
1,877,55,192.921
1,878,55,192.921
1,879,55,192.921
1,880,55,192.921
1,881,55,192.921
1,882,55,192.921
1,883,55,192.921
1,884,55,192.921
1,885,55,192.921
1,886,55,192.921
1,887,55,192.921
1,888,55,192.921
1,889,55,192.921
1,890,55,192.921
1,891,55,192.921
1,892,55,192.921
1,893,55,192.921
1,894,55,192.921
1,895,55,192.921
1,896,55,192.921
1,897,55,192.921
1,898,55,192.921
1,899,55,192.921
1,900,55,192.921
1,901,55,192.921
1,902,55,192.921
1,903,55,192.921
1,904,55,192.921
1,905,55,192.921
1,906,55,192.921
1,907,55,192.921
1,908,55,192.916
1,909,55,192.916
1,910,55,192.916
1,911,55,192.916
1,912,55,192.916
1,913,55,192.916
1,914,55,192.916
1,915,55,192.916
1,916,55,192.916
1,917,55,192.916
1,918,55,192.916
1,919,55,192.916
1,920,55,192.916
1,921,55,192.916
1,922,55,192.916
1,923,55,192.916
1,924,55,192.916
1,925,55,192.916
1,926,55,192.916
1,927,55,192.916
1,928,55,192.916
1,929,55,192.916
1,930,55,192.916
1,931,55,192.916
1,932,55,192.916
1,933,55,192.916
1,934,55,192.916
1,935,55,192.916
1,936,54,192.916
1,937,54,192.916
1,938,54,192.916
1,939,54,192.916
