,PTS,PTS,PTS,Smart,Smart,Smart,Classic,Classic,Classic
test, rrt iteration, number of waypoints, distance to goal (PTS), rrt iteration, number of waypoints, distance to goal, rrt iteration, number of waypoints, distance to goal
1,411,0,193.585,719,0,195.564,617,0,212.476
1,412,52,193.585,720,55,195.564,618,59,212.476
1,413,52,193.585,721,55,195.564,619,59,212.476
1,414,52,193.585,722,55,195.564,620,59,212.476
1,415,52,193.585,723,55,195.564,621,59,212.476
1,416,52,193.585,724,55,195.564,622,59,212.476
1,417,52,193.585,725,55,195.564,623,59,212.476
1,418,52,193.585,726,55,195.564,624,59,212.476
1,419,52,193.585,727,55,195.564,625,59,212.476
1,420,52,193.585,728,55,195.564,626,59,212.476
1,421,52,193.585,729,55,195.564,627,59,212.476
1,422,52,193.585,730,55,195.564,628,59,212.476
1,423,52,193.585,731,55,195.564,629,59,212.476
1,424,52,193.585,732,55,195.564,630,59,212.476
1,425,52,193.585,733,55,195.564,631,59,212.476
1,426,52,193.585,734,55,195.564,632,59,212.476
1,427,52,193.585,735,55,195.564,633,59,212.476
1,428,52,193.585,736,55,195.564,634,59,212.476
1,429,52,193.585,737,55,195.564,635,59,212.476
1,430,52,193.585,738,55,195.564,636,59,212.476
1,431,52,193.585,739,55,195.564,637,59,212.476
1,432,52,193.585,740,55,195.564,638,59,212.476
1,433,52,193.585,741,55,195.564,639,59,212.476
1,434,52,193.585,742,55,195.564,640,59,212.476
1,435,52,193.585,743,55,195.564,641,59,212.476
1,436,52,193.585,744,55,195.564,642,59,212.476
1,437,52,193.585,745,55,195.564,643,59,212.476
1,438,52,193.585,746,55,195.564,644,59,212.476
1,439,52,193.585,747,55,195.564,645,59,212.476
1,440,51,193.585,748,55,195.564,646,59,212.476
1,441,51,193.585,749,55,195.564,647,59,212.476
1,442,51,193.585,750,55,195.564,648,59,212.476
1,443,51,193.585,751,55,195.564,649,59,212.476
1,444,51,193.585,752,55,195.564,650,59,212.476
1,445,51,193.585,753,55,195.564,651,59,212.476
1,446,51,193.585,754,55,195.564,652,58,212.476
1,447,51,193.585,755,55,195.564,653,58,212.476
1,448,51,193.585,756,55,195.564,654,58,212.476
1,449,51,193.585,757,55,195.564,655,58,212.476
1,450,51,193.585,758,55,195.564,656,58,212.476
1,451,51,193.585,759,55,195.564,657,58,212.476
1,452,51,193.585,760,55,195.564,658,58,212.476
1,453,51,193.585,761,55,195.564,659,58,212.476
1,454,51,193.585,762,55,195.564,660,58,212.476
1,455,51,193.585,763,55,195.564,661,58,212.476
1,456,51,193.585,764,55,195.564,662,58,212.476
1,457,51,193.585,765,55,195.564,663,58,212.476
1,458,51,193.585,766,55,195.564,664,58,212.476
1,459,51,193.585,767,55,195.564,665,58,212.476
1,460,51,193.585,768,55,195.564,666,58,212.476
1,461,51,193.585,769,55,195.564,667,58,212.476
1,462,51,193.585,770,55,195.564,668,58,210.864
1,463,51,193.585,771,55,195.564,669,58,210.864
1,464,51,193.585,772,55,195.564,670,58,210.864
1,465,51,193.585,773,55,195.564,671,58,210.864
1,466,51,193.585,774,55,195.564,672,58,210.864
1,467,51,193.585,775,55,195.564,673,58,210.864
1,468,51,193.585,776,55,195.564,674,58,210.864
