test, rrt iteration, number of waypoints, distance to goal, time
1,93,0,759.734,178
1,94,6,759.734,183
1,95,6,759.734,189
1,96,6,759.734,193
1,97,6,754.39,198
1,98,6,754.39,204
1,99,6,754.39,209
1,100,6,754.39,214
1,101,6,754.39,219
1,102,6,751.576,226
1,103,6,751.576,232
1,104,6,751.576,238
1,105,6,751.576,243
1,106,6,751.576,249
1,107,6,751.576,254
1,108,6,751.576,260
1,109,6,749.295,267
1,110,6,749.295,274
1,111,6,749.295,279
1,112,6,749.295,283
1,113,6,749.295,288
1,114,6,749.295,293
1,115,6,749.295,297
1,116,6,749.295,303
1,117,6,749.295,308
1,118,6,749.295,313
1,119,6,749.295,318
1,120,6,748.497,323
1,121,6,748.497,327
1,122,6,748.497,332
1,123,6,748.497,337
1,124,6,748.497,342
1,125,6,748.497,347
1,126,6,748.497,352
1,127,6,748.497,357
1,128,6,748.497,362
1,129,6,744.709,367
1,130,7,744.709,372
1,131,7,744.709,377
1,132,7,744.709,383
1,133,7,744.709,388
1,134,7,744.709,394
1,135,7,744.709,399
1,136,7,744.709,404
1,137,7,744.709,409
1,138,7,744.709,415
1,139,7,744.709,420
1,140,7,744.709,426
1,141,7,744.709,432
1,142,7,744.709,438
1,143,7,744.709,444
1,144,7,744.709,450
1,145,7,744.556,456
1,146,7,744.556,462
1,147,7,742.003,468
1,148,6,742.003,474
1,149,6,742.003,481
1,150,6,742.003,487
1,151,6,742.003,493
1,152,6,742.003,499
1,153,6,742.003,505
1,154,6,742.003,512
1,155,6,742.003,518
1,156,6,742.003,525
1,157,6,742.003,531
1,158,6,742.003,537
1,159,6,742.003,543
1,160,6,742.003,550
1,161,6,742.003,556
1,162,6,742.003,563
1,163,6,742.003,569
1,164,6,742.003,575
1,165,6,742.003,581
1,166,6,742.003,588
1,167,6,742.003,594
1,168,6,742.003,601
1,169,6,742.003,607
1,170,6,742.003,614
1,171,6,742.003,621
1,172,6,742.003,627
1,173,6,742.003,634
1,174,6,742.003,641
1,175,6,742.003,648
1,176,6,742.003,655
1,177,6,742.003,662
1,178,6,742.003,668
1,179,6,741.985,675
1,180,6,741.985,682
1,181,6,741.932,689
1,182,6,741.932,697
1,183,6,741.932,704
1,184,6,741.932,711
1,185,7,741.932,718
1,186,7,741.932,725
1,187,7,741.932,732
1,188,7,741.932,739
1,189,7,741.932,747
1,190,7,741.932,754
1,191,7,741.932,761
1,192,7,741.932,769
1,193,7,741.932,776
1,194,7,741.79,784
1,195,7,741.79,792
1,196,7,741.79,799
1,197,7,740.253,807
1,198,7,740.253,815
1,199,7,740.253,822
1,200,7,740.253,831
1,201,7,740.253,838
1,202,7,740.253,845
1,203,7,740.253,852
1,204,7,740.253,860
1,205,7,740.253,868
1,206,7,740.253,875
1,207,7,740.253,883
1,208,7,740.253,891
1,209,7,740.253,899
1,210,7,740.253,906
1,211,7,740.253,914
1,212,7,740.253,921
1,213,7,740.253,930
1,214,7,740.253,938
1,215,7,740.253,947
1,216,7,740.253,955
1,217,7,740.253,963
1,218,7,740.253,971
1,219,7,740.253,979
1,220,7,740.253,987
