test, rrt iteration, number of waypoints, distance to goal, time
1,517,0,1031.69,3960
1,518,17,1031.69,3979
1,519,17,1031.69,3997
1,520,17,1031.69,4013
1,521,17,1031.69,4031
1,522,17,1031.69,4049
1,523,17,1031.69,4071
1,524,17,1031.69,4090
1,525,17,1031.69,4109
1,526,17,1031.69,4128
1,527,17,1031.69,4147
1,528,17,1031.69,4166
1,529,17,1031.69,4185
1,530,17,1031.69,4205
1,531,17,1031.69,4225
1,532,17,1031.61,4248
1,533,17,1031.61,4269
1,534,17,1023.69,4302
1,535,17,1023.69,4320
1,536,17,1023.69,4339
1,537,17,1023.69,4358
1,538,17,1023.69,4376
1,539,17,1017.98,4395
1,540,17,1017.98,4415
1,541,17,1017.98,4436
1,542,17,1017.98,4456
1,543,16,1017.98,4476
1,544,16,1017.98,4496
1,545,16,1017.98,4517
1,546,16,1017.98,4536
1,547,16,1017.98,4557
1,548,16,1017.98,4580
1,549,16,1017.98,4604
1,550,16,1017.98,4630
1,551,16,1017.98,4653
1,552,16,1017.98,4674
1,553,16,1017.98,4691
1,554,16,1013.74,4711
1,555,16,1013.74,4731
1,556,16,1013.05,4752
1,557,16,1013.05,4774
1,558,16,1013.05,4795
1,559,16,1013.05,4815
1,560,16,1013.05,4836
1,561,16,1013.05,4858
1,562,16,1013.05,4880
1,563,16,1013.05,4900
1,564,16,1013.05,4924
1,565,16,1009.49,4948
1,566,16,1009.49,4972
1,567,16,1009.49,4995
1,568,16,1009.49,5019
1,569,16,1009.49,5038
1,570,16,1009.49,5057
1,571,16,1009.49,5077
1,572,16,1005.84,5098
1,573,15,1005.84,5119
1,574,15,1005.84,5139
1,575,15,1005.84,5161
1,576,15,1005.84,5183
1,577,15,1005.84,5206
1,578,15,1005.84,5229
1,579,15,1005.84,5250
1,580,15,1005.84,5273
1,581,15,1005.84,5297
1,582,15,1005.84,5322
1,583,15,1005.84,5346
1,584,15,1005.84,5372
1,585,15,995.838,5392
1,586,17,990.653,5411
1,587,16,990.653,5432
1,588,16,990.653,5452
1,589,16,990.653,5473
1,590,16,990.653,5496
1,591,16,990.653,5518
