test, rrt iteration, number of waypoints, distance to goal, number of waypoints opti, distance to goal opti
1,642,0,1802.12,0,1963.77
1,643,25,1802.12,25,1862.58
1,644,25,1802.12,25,1862.58
1,645,25,1802.12,25,1862.58
1,646,25,1802.12,24,1862.58
1,647,25,1802.12,24,1862.58
1,648,25,1802.12,24,1862.58
1,649,25,1802.12,24,1862.58
1,650,25,1802.12,24,1862.58
1,651,25,1802.12,24,1862.58
1,652,25,1802.12,24,1862.58
1,653,25,1802.12,24,1862.58
1,654,25,1802.12,24,1862.58
1,655,25,1802.12,24,1862.58
1,656,25,1802.12,24,1862.58
1,657,25,1802.12,24,1862.58
1,658,25,1802.12,24,1862.58
1,659,25,1802.12,24,1862.58
1,660,25,1802.12,24,1862.58
1,661,25,1802.12,25,1862.58
1,662,25,1802.12,25,1862.58
1,663,25,1801.49,25,1862.58
1,664,25,1801.49,25,1862.58
1,665,25,1801.49,25,1862.58
1,666,25,1801.49,25,1862.58
1,667,25,1801.49,25,1862.58
1,668,25,1801.49,25,1805.41
1,669,25,1801.49,25,1805.41
1,670,25,1801.49,25,1805.41
1,671,25,1801.49,25,1805.41
1,672,25,1801.49,25,1805.41
1,673,25,1801.49,25,1801.25
1,674,25,1801.49,25,1801.25
1,675,25,1801.49,25,1801.25
1,676,25,1801.49,25,1801.25
1,677,25,1801.49,24,1801.25
1,678,25,1801.49,24,1801.25
1,679,25,1801.49,24,1801.25
1,680,25,1801.49,24,1801.25
1,681,25,1801.49,24,1801.25
1,682,25,1801.49,24,1801.25
1,683,25,1801.49,24,1801.25
1,684,25,1801.49,24,1801.25
1,685,25,1801.49,23,1801.25
1,686,25,1801.49,23,1801.25
1,687,25,1801.49,23,1801.25
1,688,25,1801.49,23,1775.46
1,689,25,1801.49,23,1775.46
1,690,25,1801.49,23,1775.46
1,691,25,1801.49,23,1775.46
1,692,25,1801.49,23,1775.46
1,693,25,1801.49,23,1775.46
1,694,25,1801.49,23,1775.46
1,695,25,1801.49,23,1775.46
1,696,25,1801.49,23,1775.46
1,697,25,1801.49,23,1738.35
1,698,25,1801.49,23,1738.35
1,699,25,1801.49,23,1738.35
1,700,25,1801.49,24,1738.35
1,701,25,1801.49,24,1738.35
1,702,25,1801.49,24,1738.35
1,703,25,1801.49,24,1738.35
1,704,25,1801.49,23,1722.23
1,705,25,1801.49,23,1722.23
1,706,25,1801.49,23,1722.23
1,707,25,1801.49,23,1722.23
1,708,25,1801.49,23,1722.23
1,709,25,1801.49,23,1722.23
1,710,25,1801.49,23,1722.23
1,711,25,1777.52,23,1722.23
1,712,25,1777.52,23,1722.23
1,713,25,1777.52,23,1722.23
1,714,25,1777.52,23,1722.23
1,715,25,1777.52,23,1722.23
1,716,25,1777.52,23,1722.23
1,717,25,1777.52,23,1722.23
1,718,25,1777.52,23,1722.23
1,719,25,1777.52,23,1722.23
1,720,25,1777.52,23,1722.23
1,721,25,1777.52,23,1722.23
1,722,25,1777.52,23,1722.23
1,723,25,1777.52,23,1722.23
1,724,25,1777.52,23,1722.23
1,725,25,1777.52,23,1722.23
1,726,25,1777.52,23,1722.23
