test, rrt iteration, number of waypoints, distance to goal, time
1,76,0,761.046,110
1,77,10,761.046,113
1,78,10,761.046,115
1,79,10,761.046,118
1,80,10,761.046,120
1,81,10,761.046,123
1,82,10,761.046,126
1,83,10,761.046,128
1,84,10,761.046,131
1,85,10,761.046,134
1,86,10,761.046,136
1,87,10,761.046,139
1,88,10,761.046,142
1,89,10,761.046,145
1,90,10,761.046,147
1,91,10,761.046,150
1,92,10,761.046,153
1,93,10,760.65,156
1,94,10,760.65,159
1,95,10,760.65,162
1,96,9,760.65,165
1,97,9,760.65,168
1,98,9,760.65,170
1,99,9,760.65,174
1,100,9,760.65,177
1,101,9,760.65,180
1,102,9,760.65,183
1,103,9,760.65,186
1,104,9,760.65,189
1,105,9,760.65,192
1,106,9,760.65,196
1,107,9,760.65,199
1,108,9,760.65,202
1,109,9,755.11,205
1,110,9,755.11,209
1,111,9,755.11,212
1,112,9,755.11,215
1,113,9,755.11,219
1,114,9,755.11,223
1,115,9,755.11,226
1,116,9,755.11,230
1,117,9,755.11,233
1,118,9,755.11,237
1,119,9,754.96,240
1,120,8,754.96,244
1,121,8,754.96,248
1,122,8,754.96,251
1,123,8,754.96,255
1,124,8,754.96,259
1,125,8,754.96,262
1,126,8,754.96,266
1,127,8,754.96,270
1,128,8,754.96,274
1,129,8,754.96,278
1,130,8,754.96,282
1,131,8,754.96,286
1,132,8,754.96,290
1,133,8,754.96,294
1,134,8,754.96,298
1,135,8,754.96,302
1,136,8,754.96,306
1,137,8,754.96,310
1,138,8,754.96,314
1,139,8,754.96,318
1,140,8,754.96,323
1,141,8,754.96,327
1,142,8,754.96,331
1,143,8,754.96,335
1,144,8,754.96,340
1,145,8,754.88,344
1,146,8,754.88,348
1,147,8,754.88,353
1,148,8,754.88,357
1,149,8,754.88,362
1,150,8,754.88,366
1,151,8,754.88,370
1,152,10,754.88,375
1,153,9,754.88,379
1,154,9,754.88,384
1,155,9,754.88,389
1,156,9,754.709,394
1,157,10,754.709,398
1,158,10,754.709,403
1,159,10,754.709,408
1,160,10,754.709,413
1,161,11,754.709,417
1,162,11,754.709,422
1,163,11,754.709,427
1,164,11,754.709,432
1,165,11,754.709,436
1,166,11,754.709,441
1,167,11,754.709,446
1,168,11,754.709,451
1,169,11,754.709,456
1,170,11,754.709,461
1,171,11,754.709,467
1,172,11,753.82,472
1,173,11,753.82,477
1,174,11,753.82,482
1,175,11,753.82,487
1,176,11,753.82,492
1,177,11,753.82,497
1,178,11,753.82,502
1,179,11,753.82,508
1,180,11,753.82,513
1,181,11,753.82,519
1,182,11,753.82,524
1,183,11,753.82,530
1,184,10,753.82,535
1,185,10,753.82,541
1,186,10,753.82,546
1,187,10,753.82,552
1,188,10,753.82,557
1,189,10,750.727,563
1,190,10,750.727,568
1,191,10,750.727,574
1,192,10,750.727,580
1,193,10,750.727,585
1,194,10,750.727,591
1,195,10,750.727,597
1,196,10,750.727,603
1,197,10,750.727,608
1,198,10,750.727,614
