test, rrt iteration, number of waypoints, distance to goal, time
1,427,0,906.066,2244
1,428,15,906.066,2257
1,429,15,904.211,2271
1,430,15,904.211,2286
1,431,15,904.211,2302
1,432,15,904.211,2316
1,433,15,904.211,2331
1,434,15,904.211,2346
1,435,15,904.211,2360
1,436,15,904.211,2376
1,437,15,904.211,2390
1,438,15,904.211,2404
1,439,15,904.211,2418
1,440,15,904.211,2435
1,441,15,904.211,2450
1,442,15,904.211,2466
1,443,15,904.211,2479
1,444,15,904.211,2493
1,445,15,877.456,2508
1,446,15,877.456,2523
1,447,15,877.456,2537
1,448,15,877.456,2552
1,449,15,877.456,2567
1,450,15,877.456,2583
1,451,15,877.456,2599
1,452,15,877.456,2615
1,453,15,877.456,2633
1,454,15,877.456,2651
1,455,15,877.456,2669
1,456,15,877.456,2683
1,457,16,877.456,2700
1,458,16,877.456,2715
1,459,16,877.456,2731
1,460,16,877.456,2744
1,461,16,877.456,2759
1,462,16,877.456,2773
1,463,16,877.456,2790
1,464,16,877.456,2804
1,465,16,877.456,2820
1,466,16,877.456,2835
1,467,16,877.456,2852
1,468,16,877.456,2868
1,469,16,877.456,2883
1,470,16,877.456,2900
1,471,16,877.456,2915
1,472,16,877.456,2935
1,473,16,877.456,2953
1,474,14,877.456,2970
1,475,14,877.456,2987
1,476,14,848.798,3001
1,477,14,848.459,3016
1,478,14,848.459,3032
1,479,14,848.459,3048
1,480,14,848.459,3065
1,481,14,848.459,3082
1,482,11,848.459,3097
1,483,11,848.459,3113
1,484,11,848.459,3131
1,485,11,848.459,3148
1,486,11,848.459,3164
1,487,11,848.459,3180
1,488,11,848.459,3195
1,489,11,848.459,3211
1,490,11,845.572,3227
1,491,12,845.572,3243
1,492,12,843.947,3260
1,493,12,843.947,3278
1,494,12,843.947,3294
1,495,12,843.947,3312
1,496,12,843.947,3329
1,497,12,843.947,3348
1,498,12,843.947,3365
1,499,12,843.947,3383
1,500,12,843.947,3400
