test, rrt iteration, number of waypoints, distance to goal
1,435,0,1582.53
1,436,21,1582.53
1,437,21,1582.53
1,438,21,1582.53
1,439,21,1582.53
1,440,21,1582.53
1,441,21,1582.53
1,442,21,1582.53
1,443,21,1582.53
1,444,21,1582.53
1,445,21,1582.53
1,446,21,1582.53
1,447,21,1582.53
1,448,21,1582.53
1,449,21,1582.53
1,450,21,1582.53
1,451,21,1582.53
1,452,21,1582.53
1,453,21,1582.53
1,454,21,1582.53
1,455,21,1572.18
1,456,21,1572.18
1,457,21,1572.18
1,458,21,1572.18
1,459,21,1572.18
1,460,21,1572.18
1,461,21,1572.18
1,462,21,1572.18
1,463,21,1572.18
1,464,21,1572.18
1,465,21,1572.18
1,466,21,1572.18
1,467,21,1572.18
1,468,21,1572.18
1,469,21,1572.18
1,470,21,1572.18
1,471,21,1562.7
1,472,21,1562.7
1,473,21,1562.7
1,474,21,1562.7
1,475,21,1562.7
1,476,21,1562.7
1,477,21,1562.7
1,478,21,1562.7
1,479,21,1562.7
1,480,21,1562.7
1,481,21,1562.7
1,482,21,1562.7
1,483,21,1562.7
1,484,21,1562.7
1,485,21,1562.7
1,486,21,1562.7
1,487,21,1562.7
1,488,21,1562.7
1,489,21,1562.7
1,490,21,1562.7
1,491,21,1562.7
1,492,21,1562.7
1,493,21,1562.7
1,494,21,1562.7
1,495,21,1562.7
1,496,21,1562.7
1,497,21,1562.7
1,498,21,1562.7
1,499,21,1562.7
1,500,21,1562.7
1,501,21,1562.7
1,502,21,1562.7
1,503,21,1562.7
1,504,21,1562.7
1,505,21,1562.7
1,506,21,1562.7
1,507,21,1562.7
1,508,21,1562.7
1,509,21,1562.7
1,510,21,1562.7
1,511,21,1562.7
1,512,21,1562.7
1,513,21,1562.7
1,514,21,1562.7
1,515,21,1562.7
1,516,21,1562.7
1,517,21,1562.7
1,518,21,1562.7
1,519,21,1562.7
1,520,21,1562.7
1,521,21,1562.7
1,522,21,1562.7
1,523,21,1562.7
1,524,21,1562.7
1,525,21,1562.7
1,526,21,1562.7
1,527,21,1562.7
1,528,21,1562.7
1,529,21,1562.7
1,530,21,1562.7
1,531,21,1562.7
1,532,21,1562.7
1,533,21,1562.7
1,534,21,1562.7
1,535,21,1562.7
1,536,21,1562.7
1,537,21,1562.7
1,538,21,1562.7
1,539,21,1562.7
1,540,21,1562.7
1,541,21,1562.7
1,542,21,1562.7
1,543,21,1562.7
1,544,21,1562.7
1,545,21,1562.7
1,546,21,1562.7
1,547,21,1562.7
1,548,21,1562.7
1,549,21,1562.7
1,550,21,1562.7
1,551,21,1562.7
1,552,21,1562.7
1,553,21,1562.7
1,554,21,1562.7
1,555,21,1562.7
1,556,21,1562.7
1,557,21,1562.7
1,558,21,1562.7
1,559,21,1562.7
1,560,21,1562.7
1,561,21,1562.7
1,562,21,1562.7
1,563,21,1562.7
1,564,21,1557.33
1,565,21,1557.33
1,566,21,1557.33
1,567,21,1557.33
1,568,21,1557.33
1,569,21,1557.33
1,570,21,1557.33
1,571,21,1557.33
1,572,21,1557.33
1,573,21,1557.33
1,574,21,1557.33
1,575,21,1557.33
1,576,21,1557.33
1,577,21,1557.33
1,578,21,1557.33
1,579,21,1557.33
1,580,21,1557.33
1,581,21,1557.33
1,582,21,1557.33
1,583,21,1557.33
1,584,21,1557.33
1,585,21,1557.33
1,586,21,1557.33
1,587,21,1557.33
1,588,21,1557.33
1,589,21,1557.33
1,590,21,1557.33
1,591,21,1557.33
1,592,21,1557.33
1,593,21,1557.33
1,594,21,1557.33
1,595,21,1557.33
1,596,21,1557.33
1,597,21,1557.33
1,598,21,1557.33
1,599,21,1557.33
1,600,21,1557.33
1,601,21,1557.33
1,602,21,1549.95
1,603,21,1549.95
1,604,20,1549.95
1,605,20,1549.95
1,606,20,1549.95
1,607,20,1549.95
1,608,20,1549.95
1,609,20,1549.95
1,610,20,1549.95
1,611,20,1547.08
1,612,20,1547.08
1,613,20,1547.08
1,614,20,1547.08
1,615,20,1547.08
1,616,20,1547.08
1,617,20,1547.08
1,618,20,1547.08
1,619,20,1547.08
1,620,20,1547.08
1,621,20,1547.08
1,622,20,1547.08
1,623,20,1547.08
1,624,20,1547.08
1,625,20,1547.08
1,626,20,1547.08
1,627,20,1547.08
1,628,20,1547.08
1,629,20,1547.08
1,630,20,1547.08
1,631,20,1547.08
1,632,20,1547.08
1,633,20,1547.08
1,634,20,1547.08
1,635,20,1547.08
1,636,20,1547.08
1,637,20,1547.08
1,638,20,1547.08
1,639,20,1547.08
1,640,20,1547.08
1,641,20,1547.08
1,642,20,1547.08
1,643,20,1547.08
1,644,20,1547.08
1,645,20,1547.08
1,646,20,1547.08
1,647,20,1547.08
1,648,20,1547.08
1,649,20,1547.08
1,650,20,1547.08
1,651,20,1547.08
1,652,20,1547.08
1,653,20,1547.08
1,654,20,1547.08
